,pct_agreement
spotify_agreement_arousal,0.69
ded_agreement_arousal,0.61
dmm_agreement_arousal,0.62
dva_agreement_arousal,0.65
eed_agreement_arousal,0.7
emm_agreement_arousal,0.69
eva_agreement_arousal,0.71
spotify_agreement_valence,0.58
ded_agreement_valence,0.47
dmm_agreement_valence,0.46
dva_agreement_valence,0.46
eed_agreement_valence,0.56
emm_agreement_valence,0.62
eva_agreement_valence,0.57
