,pct_agreement
spotify_agreement_arousal,0.69
ded_agreement_arousal,0.6
dmm_agreement_arousal,0.62
dva_agreement_arousal,0.64
eed_agreement_arousal,0.7
emm_agreement_arousal,0.68
eva_agreement_arousal,0.71
spotify_agreement_valence,0.57
ded_agreement_valence,0.46
dmm_agreement_valence,0.46
dva_agreement_valence,0.45
eed_agreement_valence,0.55
emm_agreement_valence,0.61
eva_agreement_valence,0.56
