,pct_agreement
spotify_agreement_arousal,0.68
ded_agreement_arousal,0.57
dmm_agreement_arousal,0.61
dva_agreement_arousal,0.62
eed_agreement_arousal,0.68
emm_agreement_arousal,0.67
eva_agreement_arousal,0.69
spotify_agreement_valence,0.55
ded_agreement_valence,0.45
dmm_agreement_valence,0.44
dva_agreement_valence,0.43
eed_agreement_valence,0.53
emm_agreement_valence,0.59
eva_agreement_valence,0.54
