,pct_agreement
spotify_agreement_arousal,0.68
ded_agreement_arousal,0.6
dmm_agreement_arousal,0.61
dva_agreement_arousal,0.64
eed_agreement_arousal,0.69
emm_agreement_arousal,0.68
eva_agreement_arousal,0.71
spotify_agreement_valence,0.57
ded_agreement_valence,0.47
dmm_agreement_valence,0.46
dva_agreement_valence,0.45
eed_agreement_valence,0.55
emm_agreement_valence,0.61
eva_agreement_valence,0.57
